Invoice Date,Vendor,Description,Amount,Invoice Number
01/15/2025,Schindler Elevator Corp,Monthly maintenance contract - 2 cabs,5600.00,SCH-2025-001
02/15/2025,Schindler Elevator Corp,Monthly maintenance contract - 2 cabs,5600.00,SCH-2025-002
03/15/2025,Schindler Elevator Corp,Monthly maintenance contract - 2 cabs,5600.00,SCH-2025-003
04/15/2025,Schindler Elevator Corp,Monthly maintenance contract - 2 cabs,5600.00,SCH-2025-004
05/15/2025,Schindler Elevator Corp,Monthly maintenance contract,5600.00,SCH-2025-005
06/15/2025,Schindler Elevator Corp,Monthly maintenance contract,5600.00,SCH-2025-006
01/01/2025,AmTrust Insurance Group,Building insurance premium Q1,23500.00,ATG-0125
04/01/2025,AmTrust Insurance Group,Building insurance premium Q2,23500.00,ATG-0425
07/01/2025,AmTrust Insurance Group,Building insurance premium Q3,23500.00,ATG-0725
10/01/2025,AmTrust Insurance Group,Building insurance premium Q4,23500.00,ATG-1025
01/05/2025,Clean Star Building Services,Monthly cleaning contract Jan,4500.00,CS-012025
02/05/2025,Clean Star Building Services,Monthly cleaning contract Feb,4500.00,CS-022025
03/05/2025,Clean Star Building Services,Monthly cleaning contract Mar,4500.00,CS-032025
04/05/2025,Clean Star Building Services,Monthly cleaning contract Apr,4500.00,CS-042025
05/05/2025,Clean Star Building Services,Monthly cleaning services,4500.00,CS-052025
06/05/2025,Clean Star Building Services,Monthly cleaning services,4500.00,CS-062025
01/10/2025,Empire Boiler Service Inc,Boiler maintenance Q1 2025,3150.00,EBS-Q125
04/10/2025,Empire Boiler Service Inc,Boiler maintenance Q2 2025,3150.00,EBS-Q225
07/10/2025,Empire Boiler Service Inc,Boiler maintenance Q3 2025,3150.00,EBS-Q325
10/10/2025,Empire Boiler Service Inc,Boiler maintenance Q4 2025,3150.00,EBS-Q425
01/08/2025,Apex Exterminating Company,Monthly pest control Jan,500.00,AEX-01
02/08/2025,Apex Exterminating Company,Monthly pest control Feb,500.00,AEX-02
03/08/2025,Apex Exterminating Company,Monthly pest control Mar,500.00,AEX-03
04/08/2025,Apex Exterminating Company,Monthly pest control Apr,500.00,AEX-04
05/08/2025,Apex Exterminating Company,Monthly pest control May,500.00,AEX-05
06/08/2025,Apex Exterminating Company,Monthly pest control Jun,500.00,AEX-06
03/01/2025,Metro Water Treatment LLC,Water treatment service Q1,2400.00,MWT-Q125
06/01/2025,Metro Water Treatment LLC,Water treatment service Q2,2400.00,MWT-Q225
09/01/2025,Metro Water Treatment LLC,Water treatment service Q3,2400.00,MWT-Q325
01/20/2025,NYC Waste Solutions Corp,Waste removal Jan,1200.00,NYCW-01
02/20/2025,NYC Waste Solutions Corp,Waste removal Feb,1200.00,NYCW-02
03/20/2025,NYC Waste Solutions Corp,Waste removal Mar,1200.00,NYCW-03
04/20/2025,NYC Waste Solutions Corp,Waste removal Apr,1200.00,NYCW-04
05/20/2025,NYC Waste Solutions Corp,Waste removal May,1200.00,NYCW-05
06/20/2025,NYC Waste Solutions Corp,Waste removal Jun,1200.00,NYCW-06
