property_code,building_name,vendor,category,category_label,annual_spend
106,5 West 14th Owners Corp,Adriatic Plumbing & Heating Corp,PLUMBING_REPAIRS,Plumbing Repairs,55658.6
106,5 West 14th Owners Corp,Champion Pipe Covering Inc.,PLUMBING_REPAIRS,Plumbing Repairs,11800.0
106,5 West 14th Owners Corp,Perfect Flow Sewer & Drain Services Inc.,PLUMBING_REPAIRS,Plumbing Repairs,303.76
106,5 West 14th Owners Corp,Dave's Electric Motors & Pumps,PLUMBING_REPAIRS,Plumbing Repairs,6429.09
106,5 West 14th Owners Corp,Crystal Comfort Inc.,AC_MAINTENANCE,AC Maintenance,8165.64
106,5 West 14th Owners Corp,Century Elevator Maintenance Corporation,ELEVATOR_MAINTENANCE,Elevator Maintenance,40978.68
106,5 West 14th Owners Corp,Assured Environments,EXTERMINATING,Exterminating,7835.28
106,5 West 14th Owners Corp,Handytrac Systems LLC,SECURITY_ALARM,Security/Alarm,899.4
106,5 West 14th Owners Corp,Crystal Comfort Inc.,WATER_TREATMENT,Water Treatment,1633.13
106,5 West 14th Owners Corp,Urban Green Gardens LLC,LANDSCAPING,Landscaping,5672.4
106,5 West 14th Owners Corp,Wendy Reitmeier,LANDSCAPING,Landscaping,0.0
106,5 West 14th Owners Corp,New York-Alliant Insurance Services Inc,INSURANCE_PACKAGE,Package Insurance,408941.24
106,5 West 14th Owners Corp,New York-Alliant Insurance Services Inc,INSURANCE_UMBRELLA,Umbrella Insurance,68108.0
106,5 West 14th Owners Corp,New York-Alliant Insurance Services Inc,INSURANCE_DO,D&O Insurance,16505.0
106,5 West 14th Owners Corp,NYC Water Board,WATER_SEWER,Water/Sewer,192280.9
106,5 West 14th Owners Corp,"Century Management Services, Inc.",MANAGEMENT_FEES,Management Fees,294405.77
123,Beverly House Co. (Sponsor units only),"Century Management Services, Inc.",MANAGEMENT_FEES,Management Fees,10141.36
138,Morgan House Condominium,"Breezin HVAC, Inc",HVAC_REPAIRS,HVAC Repairs,3320.69
138,Morgan House Condominium,New York Plumbing and Heating Corp,PLUMBING_REPAIRS,Plumbing Repairs,5186.61
138,Morgan House Condominium,Century Elevator Maintenance Corporation,ELEVATOR_REPAIRS,Elevator Repairs,979.88
138,Morgan House Condominium,Century Elevator Maintenance Corporation,ELEVATOR_MAINTENANCE,Elevator Maintenance,15347.17
138,Morgan House Condominium,Standard Pest Management,EXTERMINATING,Exterminating,4368.22
138,Morgan House Condominium,"Long Range Wireless, LLC",SECURITY_ALARM,Security/Alarm,1077.86
138,Morgan House Condominium,NuVel Technica LLC,SECURITY_ALARM,Security/Alarm,331.52
138,Morgan House Condominium,The Metro Group Inc.,WATER_TREATMENT,Water Treatment,1005.35
138,Morgan House Condominium,New York-Alliant Insurance Services Inc,INSURANCE_PACKAGE,Package Insurance,25975.46
138,Morgan House Condominium,First Insurance Funding Corp.,INSURANCE_PACKAGE,Package Insurance,153679.2
138,Morgan House Condominium,NYC Water Board,WATER_SEWER,Water/Sewer,28344.9
138,Morgan House Condominium,"Century Management Services, Inc.",MANAGEMENT_FEES,Management Fees,43876.44
140,29-45 Tenants Corp,York Mechanical Corp.,HVAC_REPAIRS,HVAC Repairs,631.48
140,29-45 Tenants Corp,Adriatic Plumbing & Heating Corp,PLUMBING_REPAIRS,Plumbing Repairs,41441.08
140,29-45 Tenants Corp,Perfect Flow Sewer & Drain Services Inc.,PLUMBING_REPAIRS,Plumbing Repairs,439.86
140,29-45 Tenants Corp,We Wire Electric Group Inc,ELECTRICAL_REPAIRS,Electrical Repairs,6084.32
140,29-45 Tenants Corp,Century Elevator Maintenance Corporation,ELEVATOR_REPAIRS,Elevator Repairs,12084.04
140,29-45 Tenants Corp,Bek Building Maintenance Corp,CLEANING_MAINTENANCE,Cleaning & Maintenance,951.57
140,29-45 Tenants Corp,Century Elevator Maintenance Corporation,ELEVATOR_MAINTENANCE,Elevator Maintenance,50212.4
140,29-45 Tenants Corp,Assured Environments,EXTERMINATING,Exterminating,2825.04
140,29-45 Tenants Corp,AEC Electronics Inc.,SECURITY_ALARM,Security/Alarm,4770.0
140,29-45 Tenants Corp,"Long Range Wireless, LLC",SECURITY_ALARM,Security/Alarm,538.93
140,29-45 Tenants Corp,Rochester Midland Corporation,WATER_TREATMENT,Water Treatment,851.4
140,29-45 Tenants Corp,Higher Ground Horticulture LLC,LANDSCAPING,Landscaping,8185.22
140,29-45 Tenants Corp,"Let It Grow, Inc.",LANDSCAPING,Landscaping,40570.5
140,29-45 Tenants Corp,Schubert,LANDSCAPING,Landscaping,827.83
140,29-45 Tenants Corp,Torus Hole LLC,LANDSCAPING,Landscaping,9200.0
140,29-45 Tenants Corp,Urban Arborists,LANDSCAPING,Landscaping,5392.01
140,29-45 Tenants Corp,Mary Delaney Interior Design,LANDSCAPING,Landscaping,4081.14
140,29-45 Tenants Corp,New York-Alliant Insurance Services Inc,INSURANCE_PACKAGE,Package Insurance,71312.26
140,29-45 Tenants Corp,New York-Alliant Insurance Services Inc,INSURANCE_UMBRELLA,Umbrella Insurance,38600.31
140,29-45 Tenants Corp,NYC Water Board,WATER_SEWER,Water/Sewer,47629.18
140,29-45 Tenants Corp,"Century Management Services, Inc.",MANAGEMENT_FEES,Management Fees,64890.0
148,130 E. 18 Owners Corp,New York Fan Coil LLC.,HVAC_REPAIRS,HVAC Repairs,12153.24
148,130 E. 18 Owners Corp,ALED Technologies Inc.,HVAC_REPAIRS,HVAC Repairs,1747.44
148,130 E. 18 Owners Corp,Pro-Tech Plumbing and Heating Corp.,PLUMBING_REPAIRS,Plumbing Repairs,102502.68
148,130 E. 18 Owners Corp,Adriatic Plumbing & Heating Corp,PLUMBING_REPAIRS,Plumbing Repairs,120132.3
148,130 E. 18 Owners Corp,Veteran Pipe Covering Co Inc,PLUMBING_REPAIRS,Plumbing Repairs,1262.7
148,130 E. 18 Owners Corp,Dave's Electric Motors & Pumps,PLUMBING_REPAIRS,Plumbing Repairs,2041.41
148,130 E. 18 Owners Corp,"Power Cooling, Inc.",PLUMBING_REPAIRS,Plumbing Repairs,8655.56
148,130 E. 18 Owners Corp,Atz Enterprise LLC,ELECTRICAL_REPAIRS,Electrical Repairs,26225.7
148,130 E. 18 Owners Corp,PS Marcato Elevator Company,ELEVATOR_REPAIRS,Elevator Repairs,831.81
148,130 E. 18 Owners Corp,Bio-Bright NY LLC,CLEANING_MAINTENANCE,Cleaning & Maintenance,6521.62
148,130 E. 18 Owners Corp,"Power Cooling, Inc.",AC_MAINTENANCE,AC Maintenance,5226.0
148,130 E. 18 Owners Corp,"Power Cooling, Inc.",HVAC_MAINTENANCE,HVAC Maintenance,1742.0
148,130 E. 18 Owners Corp,VDA LLC,ELEVATOR_MAINTENANCE,Elevator Maintenance,2035.0
