property_code,building_key,yardi_name
148,bldg_004,130 E. 18 Owners Corp
159,bldg_125,5601 Riverdale Owners Corp
168,bldg_005,310 East 49th Owners Corp
204,bldg_006,444 East 86th Street Owners Corp
205,bldg_007,77 Bleecker Commercial Prop
206,bldg_007,77 Bleecker Street Corp
210,bldg_008,210 Central Park South Inc
216,bldg_011,315 East 70th Street Apartment Corp
224,bldg_012,159 Madison Owners Corp
228,bldg_014,52 Riverside Drive Owners Corp
302,bldg_103,205 Water Street Condo
343,bldg_106,The 306 Gold Street Condominium
347,bldg_107,500 Waverly Condominium
355,bldg_115,Glassworks at 336 Himrod
357,bldg_113,315 St.Johns Owners Inc (Back Office ONLY)
358,bldg_114,35 Prospect Park West
434,bldg_117,45 Kew Gardens Owners Inc
703,bldg_015,The 160 East 22nd Street Condominium
710,bldg_016,157 East 72nd Street Condominium
717,bldg_018,240-79 Owners Corp
718,bldg_019,440 East 79th Street Owners Corp
719,bldg_020,33 Greenwich Owners Corp
732,bldg_023,303 East 33rd Street Condominium
733,bldg_024,142 E 16 Cooperative Owners Inc
747,bldg_027,545 W 111th Street Condominium
749,bldg_028,125 West 96th Street Owners Corp
806,bldg_030,110 West 86th Street Condominium
808,bldg_031,400 Park Avenue South
809,bldg_032,305 East 24th Owners Corp aka New York Towers
810,bldg_033,150 West 87th Owners Corp
813,bldg_034,100 Barrow Street Apartment Corp
823,bldg_035,121 East 22nd Street Condominium
826,bldg_036,147 Waverly Place Condominium
829,bldg_037,41 Fifth Owners Corp
831,bldg_038,91 Leonard Street Condominium
836,bldg_041,309 East 87th Tenants Corp
837,bldg_042,580 West End Avenue Corp
839,bldg_044,415 East 80th Street Housing Corp
840,bldg_045,100 Norfolk Street Condominium
841,bldg_046,150 East 78th Street Condominium
842,bldg_047,69 West 9 Street Owners Corp
847,bldg_049,The Orion - 350 West 42nd Street
848,bldg_050,1045 Madison Condominium (The Benson)
869,bldg_052,100 West 18th Street Condominium
871,bldg_054,The 456 West 19th Street Condominium
874,bldg_056,200 East 83rd Street Condominium
875,bldg_057,150 West 82nd Street Condominium
876,bldg_058,105 West 73rd Owners Corp
878,bldg_059,260 West Broadway Condominium
879,bldg_060,The 22 Bond Street Condominium
880,bldg_061,1165 Madison Avenue
881,bldg_062,200 West 79th Street Owners Inc
882,bldg_062,200 West 79th Street Condominium
883,bldg_063,33 East 74th Street Condominium
884,bldg_064,169 Hudson Street Condominium
886,bldg_066,233 East 69th Street Owners Corp
901,bldg_066,233 East 69th Street Condominium
902,bldg_067,411 East 53rd Street Condominium
906,bldg_070,93 Worth Street Condominium
917,bldg_078,980 Fifth Avenue Corp
918,bldg_079,162 East 80th Street Tenants Inc
919,bldg_078,980 Fifth Avenue Corp. - Garage
922,bldg_082,181 MacDougal Street Condominium
924,bldg_083,The 45 East 89th Street Condominium
929,bldg_087,200 E 75th Street Condominium
930,bldg_088,12 E 13th Street Condominium
931,bldg_089,771 West End Avenue Inc
932,bldg_090,155 West 18th St. Condo - (The Flynn)
933,bldg_091,132 East 35th Street Owners Inc
941,bldg_099,325 West 86th Corp
106,bldg_126,5 West 14th Owners Corp
123,bldg_127,Beverly House Co. (Sponsor units only)
138,bldg_128,Morgan House Condominium
140,bldg_129,29-45 Tenants Corp
212,bldg_130,221 East 36th Owners Corp
215,bldg_131,The Armory Owners Inc
217,bldg_132,The Armory Condominium
227,bldg_133,Regent House Tenants Corp
301,bldg_134,Sheepshead Terrace Coop Inc
308,bldg_135,Fillmore Gardens Cooperative
309,bldg_136,Jsignal LLC
340,bldg_137,Pierhouse Condominium
342,bldg_138,Lincoln Sponsor LLC
344,bldg_139,234 Starr Street Developers LLC
345,bldg_140,H and L Broadway Holding LLC
348,bldg_141,Ariana Condominium
352,bldg_142,One Grand Army Plaza
354,bldg_143,Ansonia Muse Condominium
359,bldg_144,Ansonia Clockworks Condominium
360,bldg_145,The Oosten Condominium
410,bldg_146,Booth Street Owners Corp
437,bldg_147,Crescent Tenants Corp
438,bldg_148,B.G. Apartments
440,bldg_149,Kenwood Gardens
442,bldg_150,North Shore Towers
500,bldg_151,2575 Owners Corp
501,bldg_152,Mayflower Terrace Inc
507,bldg_153,Chatterton Terrace Inc
510,bldg_154,Hugh Grant Gardens HDFC
715,bldg_155,The Parkwood Condominium
724,bldg_156,Cherokee Owners Corp
727,bldg_157,141 East Third Owners Corp
738,bldg_158,Cheltoncort
743,bldg_159,323-325-327 West 11th St Owners Corp
745,bldg_160,The Abingdon Condominium
746,bldg_161,545 West Corp
805,bldg_162,The Hopkins Condominium
818,bldg_163,175 West 10th Street Condominium
824,bldg_164,10 Provost Square Condominium
834,bldg_165,Turtle Bay Towers Corp
835,bldg_166,Alfie Arms Corp
838,bldg_167,Rose Hill Condominium
846,bldg_168,Vitre Condominium
849,bldg_169,1435 Tenants Corp
867,bldg_170,205215 Owners LTD
870,bldg_171,13193 Owners Corp
872,bldg_172,SouthBridge Towers
885,bldg_173,Fifth Avenue and 60th Street Corp
903,bldg_174,265 River Owners Corp
904,bldg_175,151 Bay Street Condominium
905,bldg_176,515 Tenants Corp
907,bldg_177,The Chelsea House
908,bldg_178,Forum Owners Corp
909,bldg_179,Hudson View Gardens
910,bldg_180,Fort Tryon Apartments
912,bldg_181,The 176 East 82nd Street Condominium AKA Etage Condominium
913,bldg_182,The Pythian Condominium
915,bldg_183,93rd Street Owners Corp
916,bldg_184,505 WE Owners Corp
920,bldg_185,Gramercy Arms Corp
921,bldg_186,The Liberty House
923,bldg_187,89th and Madison Owners Corp
925,bldg_188,Blue Condominium
926,bldg_189,Gramercy Towers Owners Corp
927,bldg_190,River and Warren Condominium
934,bldg_191,The Millennium Tower Residences
935,bldg_192,The Warren House Condominium
936,bldg_193,The Regatta Condominium
937,bldg_194,Liberty Terrace Condominium
938,bldg_195,The Cove Club Condominium
939,bldg_196,305 Equites Corp
940,bldg_197,Newport East Inc
942,bldg_198,The Kalahari Condominium
943,bldg_199,The Halcyon Condominium
